DNA_plate_well,DNA_plate,DNA_well,Cohort,collection_date,isolation_source,counts
plate_3_A7,plate_3,A7,Control,2017-02-07,14187,13378071
plate_3_A8,plate_3,A8,D-Scour,2017-02-03,14276,14849445
plate_3_A9,plate_3,A9,Neomycin,2017-02-03,29847,10590136
plate_3_B1,plate_3,B1,D-Scour,2017-02-14,29846,14824271
plate_3_B10,plate_3,B10,ColiGuard,2017-02-07,14188,11032873
plate_3_B11,plate_3,B11,Neomycin+D-Scour,2017-02-24,29931,16193957
plate_3_B12,plate_3,B12,Neomycin+ColiGuard,2017-02-07,14297,14332014
plate_3_B2,plate_3,B2,D-Scour,2017-02-03,29846,16949122
plate_3_B3,plate_3,B3,Control,2017-02-14,14160,16628306
plate_3_B4,plate_3,B4,Control,2017-02-07,14160,24805100
plate_3_B5,plate_3,B5,Neomycin+ColiGuard,2017-03-03,29702,787801
plate_3_B6,plate_3,B6,Neomycin,2017-02-24,29847,14239362
plate_3_B7,plate_3,B7,D-Scour,2017-02-03,14317,11613037
plate_3_B8,plate_3,B8,Neomycin+D-Scour,2017-02-14,29951,16755981
plate_3_B9,plate_3,B9,ColiGuard,2017-02-21,14188,13217557
plate_3_C1,plate_3,C1,Neomycin+D-Scour,2017-02-14,14320,11627391
plate_3_C10,plate_3,C10,Neomycin,2017-02-07,29718,15912246
plate_3_C11,plate_3,C11,Neomycin+ColiGuard,2017-02-07,14261,16856373
plate_3_C12,plate_3,C12,NegativeControl,,NegativeControl,2313481
plate_3_C2,plate_3,C2,NegativeControl,,NegativeControl,40023
plate_3_C3,plate_3,C3,Neomycin,2017-02-07,14305,10647507
plate_3_C4,plate_3,C4,Control,2017-02-14,29705,20906108
plate_3_C5,plate_3,C5,Neomycin+ColiGuard,2017-02-07,29943,23805111
plate_3_C6,plate_3,C6,Neomycin+D-Scour,2017-02-03,29652,10871474
plate_3_C7,plate_3,C7,Control,2017-02-28,14322,15374249
plate_3_C8,plate_3,C8,Neomycin+D-Scour,2017-02-07,14193,20282144
plate_3_C9,plate_3,C9,Neomycin+ColiGuard,2017-02-21,14263,7749284
plate_3_D1,plate_3,D1,Control,2017-02-21,29666,13323041
plate_3_D10,plate_3,D10,Neomycin+ColiGuard,2017-02-24,29643,20784894
plate_3_D11,plate_3,D11,D-Scour,2017-02-14,14317,21200170
plate_3_D12,plate_3,D12,Neomycin,2017-02-24,14208,12116937
plate_3_D2,plate_3,D2,D-Scour,2017-03-03,29846,12088576
plate_3_D3,plate_3,D3,Neomycin+ColiGuard,2017-03-03,29646,17849485
plate_3_D4,plate_3,D4,ColiGuard,2017-03-03,29700,16049117
plate_3_D5,plate_3,D5,Neomycin,2017-03-03,29753,22186503
plate_3_D6,plate_3,D6,Control,2017-03-03,29666,14198262
plate_3_D7,plate_3,D7,Neomycin+D-Scour,2017-02-14,14193,14350943
plate_3_D8,plate_3,D8,Neomycin,2017-03-03,29796,21948240
plate_3_D9,plate_3,D9,Neomycin+ColiGuard,2017-02-28,29715,16725299
plate_3_E1,plate_3,E1,Neomycin+ColiGuard,2017-02-21,14186,24557927
plate_3_E10,plate_3,E10,ColiGuard,2017-02-24,14209,21921255
plate_3_E11,plate_3,E11,Neomycin+ColiGuard,2017-02-24,29646,19252489
plate_3_E12,plate_3,E12,D-Scour,2017-03-03,14276,15951985
plate_3_E2,plate_3,E2,Neomycin,2017-02-07,29777,17105236
plate_3_E3,plate_3,E3,Neomycin+ColiGuard,2017-02-24,14261,20839321
plate_3_E4,plate_3,E4,Neomycin+D-Scour,2017-02-07,29865,17139137
plate_3_E5,plate_3,E5,D-Scour,2017-02-07,29864,19211859
plate_3_E6,plate_3,E6,Neomycin+D-Scour,2017-03-03,29951,14153433
plate_3_E7,plate_3,E7,ColiGuard,2017-02-14,14307,12359732
plate_3_E8,plate_3,E8,Control,2017-02-21,29948,28155847
plate_3_E9,plate_3,E9,D-Scour,2017-02-24,29846,6676362
plate_3_F1,plate_3,F1,Neomycin,2017-02-07,29753,14184850
plate_3_F10,plate_3,F10,Neomycin+D-Scour,2017-02-24,29667,14378321
plate_3_F11,plate_3,F11,Neomycin+D-Scour,2017-02-03,29931,16133729
plate_3_F12,plate_3,F12,Neomycin,2017-02-07,14190,12921918
plate_3_F2,plate_3,F2,D-Scour,2017-02-07,29644,24280957
plate_3_F3,plate_3,F3,ColiGuard,2017-03-03,14306,15707522
plate_3_F4,plate_3,F4,PosControl_D-Scour,2018-01-24,Protexin,16665530
plate_3_F5,plate_3,F5,D-Scour,2017-02-03,29864,9905129
plate_3_F6,plate_3,F6,ColiGuard,2017-02-21,14308,13725485
plate_3_F7,plate_3,F7,Neomycin,2017-02-07,29668,13147907
plate_3_F8,plate_3,F8,Neomycin+D-Scour,2017-02-03,29934,15911698
plate_3_F9,plate_3,F9,Neomycin+D-Scour,2017-02-21,29931,18651208
plate_3_G1,plate_3,G1,Neomycin,2017-02-03,29796,36976841
plate_3_G10,plate_3,G10,Neomycin,2017-02-07,29797,22242303
plate_3_G11,plate_3,G11,ColiGuard,2017-02-07,14306,22556244
plate_3_G12,plate_3,G12,Neomycin+ColiGuard,2017-03-03,14263,17920805
plate_3_G2,plate_3,G2,Neomycin,2017-02-07,29847,11075846
plate_3_G3,plate_3,G3,ColiGuard,2017-02-24,14306,17268982
plate_3_G4,plate_3,G4,MockCommunity,2017-08-14,MockCommunity,16709842
plate_3_G5,plate_3,G5,Neomycin+D-Scour,2017-02-14,29961,19290452
plate_3_G6,plate_3,G6,Neomycin,2017-02-07,29796,18255053
plate_3_G7,plate_3,G7,Neomycin+D-Scour,2017-02-24,29951,19475449
plate_3_G8,plate_3,G8,D-Scour,2017-02-24,14276,20587476
plate_3_G9,plate_3,G9,Neomycin+ColiGuard,2017-02-07,29646,16669233
plate_3_H1,plate_3,H1,PosControl_ColiGuard,2018-01-24,ColiGuard,15675592
plate_3_H10,plate_3,H10,Neomycin+ColiGuard,2017-02-03,14261,19612397
plate_3_H11,plate_3,H11,Neomycin,2017-02-28,29847,25309409
plate_3_H12,plate_3,H12,D-Scour,2017-02-28,14317,16579334
plate_3_H2,plate_3,H2,Neomycin,2017-02-21,29694,18882057
plate_3_H3,plate_3,H3,Neomycin+ColiGuard,2017-02-07,29655,18492368
plate_3_H4,plate_3,H4,Neomycin+ColiGuard,2017-02-21,14260,20035426
plate_3_H5,plate_3,H5,Neomycin+D-Scour,2017-02-21,29934,22775759
plate_3_H6,plate_3,H6,ColiGuard,2017-02-28,14308,13923857
plate_3_H7,plate_3,H7,Neomycin+D-Scour,2017-02-28,29667,14181510
plate_3_H8,plate_3,H8,Neomycin+ColiGuard,2017-02-03,29715,13400917
plate_3_H9,plate_3,H9,Neomycin+ColiGuard,2017-02-28,29643,16970525
plate_4_A1,plate_4,A1,ColiGuard,2017-02-21,14209,16683880
plate_4_A10,plate_4,A10,D-Scour,2017-02-21,14159,19295336
plate_4_A11,plate_4,A11,Neomycin+D-Scour,2017-02-03,29865,16818506
plate_4_A12,plate_4,A12,Neomycin+D-Scour,2017-01-31,29667,15676788
plate_4_A2,plate_4,A2,Neomycin,2017-02-10,29796,12128104
plate_4_A3,plate_4,A3,Neomycin,2017-01-31,29781,8772133
plate_4_A4,plate_4,A4,Neomycin+ColiGuard,2017-02-10,14186,15928396
plate_4_A5,plate_4,A5,ColiGuard,2017-02-28,14188,21942399
plate_4_A6,plate_4,A6,Neomycin+ColiGuard,2017-01-31,14263,23292494
plate_4_A7,plate_4,A7,Neomycin+D-Scour,2017-02-07,14295,17161451
plate_4_A8,plate_4,A8,Neomycin+ColiGuard,2017-02-07,29643,18751700
plate_4_A9,plate_4,A9,ColiGuard,2017-02-10,14209,18257532
plate_4_B1,plate_4,B1,Neomycin+D-Scour,2017-01-31,29652,11866641
