p_value,which_colldate,which_PC,comparison,group_1,group_2,groupsplit,test
0.986648464949089,t9,PC1,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t9,pairwise.t.test
0.754399492258578,t9,PC2,ColiGuard_vs_Control,ColiGuard,Control,all_t9,pairwise.t.test
0.967073687867591,t9,PC2,Control_vs_D-Scour,Control,D-Scour,all_t9,pairwise.t.test
0.334777024516088,t9,PC2,Control_vs_Neomycin,Control,Neomycin,all_t9,pairwise.t.test
0.464936556686971,t9,PC2,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t9,pairwise.t.test
0.615324094036047,t9,PC2,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t9,pairwise.t.test
0.790405789644561,t9,PC3,ColiGuard_vs_Control,ColiGuard,Control,all_t9,pairwise.t.test
0.470148249366905,t9,PC3,Control_vs_D-Scour,Control,D-Scour,all_t9,pairwise.t.test
0.853204982304984,t9,PC3,Control_vs_Neomycin,Control,Neomycin,all_t9,pairwise.t.test
0.616477484673482,t9,PC3,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t9,pairwise.t.test
0.405628057106595,t9,PC3,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t9,pairwise.t.test
0.641655883763397,t9,PC4,ColiGuard_vs_Control,ColiGuard,Control,all_t9,pairwise.t.test
0.420281802670734,t9,PC4,Control_vs_D-Scour,Control,D-Scour,all_t9,pairwise.t.test
0.400747088633163,t9,PC4,Control_vs_Neomycin,Control,Neomycin,all_t9,pairwise.t.test
0.58785609885052,t9,PC4,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t9,pairwise.t.test
0.690936022014468,t9,PC4,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t9,pairwise.t.test
0.408767493547788,t9,PC5,ColiGuard_vs_Control,ColiGuard,Control,all_t9,pairwise.t.test
0.0587916822480909,t9,PC5,Control_vs_D-Scour,Control,D-Scour,all_t9,pairwise.t.test
0.208719354739832,t9,PC5,Control_vs_Neomycin,Control,Neomycin,all_t9,pairwise.t.test
0.161232796410722,t9,PC5,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t9,pairwise.t.test
0.0281331481791556,t9,PC5,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t9,pairwise.t.test
0.794272364546709,t0,PC1,ColiGuard_vs_Control,ColiGuard,Control,groupA_t0,pairwise.t.test
0.119223404921846,t0,PC1,Control_vs_D-Scour,Control,D-Scour,groupA_t0,pairwise.t.test
0.952846872761622,t0,PC1,Control_vs_Neomycin,Control,Neomycin,groupA_t0,pairwise.t.test
0.421668276432564,t0,PC1,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,groupA_t0,pairwise.t.test
0.451249255883289,t0,PC1,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,groupA_t0,pairwise.t.test
0.889730031703192,t0,PC2,ColiGuard_vs_Control,ColiGuard,Control,groupA_t0,pairwise.t.test
0.370303102471541,t0,PC2,Control_vs_D-Scour,Control,D-Scour,groupA_t0,pairwise.t.test
0.496744004016181,t0,PC2,Control_vs_Neomycin,Control,Neomycin,groupA_t0,pairwise.t.test
0.693585042359464,t0,PC2,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,groupA_t0,pairwise.t.test
0.666510662132016,t0,PC2,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,groupA_t0,pairwise.t.test
0.0164965023730493,t0,PC3,ColiGuard_vs_Control,ColiGuard,Control,groupA_t0,pairwise.t.test
0.553223871282661,t0,PC3,Control_vs_D-Scour,Control,D-Scour,groupA_t0,pairwise.t.test
0.113403272315938,t0,PC3,Control_vs_Neomycin,Control,Neomycin,groupA_t0,pairwise.t.test
0.368954419946689,t0,PC3,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,groupA_t0,pairwise.t.test
0.184173089724287,t0,PC3,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,groupA_t0,pairwise.t.test
0.973243619018182,t0,PC4,ColiGuard_vs_Control,ColiGuard,Control,groupA_t0,pairwise.t.test
0.546009982307028,t0,PC4,Control_vs_D-Scour,Control,D-Scour,groupA_t0,pairwise.t.test
0.797154735232631,t0,PC4,Control_vs_Neomycin,Control,Neomycin,groupA_t0,pairwise.t.test
0.642367424928343,t0,PC4,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,groupA_t0,pairwise.t.test
0.375777176252091,t0,PC4,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,groupA_t0,pairwise.t.test
0.571222293402661,t0,PC5,ColiGuard_vs_Control,ColiGuard,Control,groupA_t0,pairwise.t.test
0.155052975445101,t0,PC5,Control_vs_D-Scour,Control,D-Scour,groupA_t0,pairwise.t.test
0.678856356584296,t0,PC5,Control_vs_Neomycin,Control,Neomycin,groupA_t0,pairwise.t.test
0.719090910653882,t0,PC5,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,groupA_t0,pairwise.t.test
0.358803070992692,t0,PC5,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,groupA_t0,pairwise.t.test
0.856299986921009,t2,PC1,ColiGuard_vs_Control,ColiGuard,Control,groupA_t2,pairwise.t.test
0.416314164755373,t2,PC1,Control_vs_D-Scour,Control,D-Scour,groupA_t2,pairwise.t.test
0.655086979560232,t2,PC1,Control_vs_Neomycin,Control,Neomycin,groupA_t2,pairwise.t.test
0.420261427354729,t2,PC1,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,groupA_t2,pairwise.t.test
0.80011312117083,t2,PC1,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,groupA_t2,pairwise.t.test
0.70406833042483,t2,PC2,ColiGuard_vs_Control,ColiGuard,Control,groupA_t2,pairwise.t.test
0.342113749176934,t2,PC2,Control_vs_D-Scour,Control,D-Scour,groupA_t2,pairwise.t.test
0.301480779911996,t2,PC2,Control_vs_Neomycin,Control,Neomycin,groupA_t2,pairwise.t.test
0.346037987956429,t2,PC2,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,groupA_t2,pairwise.t.test
0.100934901660642,t2,PC2,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,groupA_t2,pairwise.t.test
0.722697423423286,t2,PC3,ColiGuard_vs_Control,ColiGuard,Control,groupA_t2,pairwise.t.test
0.0589375577619252,t2,PC3,Control_vs_D-Scour,Control,D-Scour,groupA_t2,pairwise.t.test
0.024046405881124,t2,PC3,Control_vs_Neomycin,Control,Neomycin,groupA_t2,pairwise.t.test
0.225748671297813,t2,PC3,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,groupA_t2,pairwise.t.test
0.0874605430169135,t2,PC3,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,groupA_t2,pairwise.t.test
0.112954964951075,t2,PC4,ColiGuard_vs_Control,ColiGuard,Control,groupA_t2,pairwise.t.test
0.478985293595807,t2,PC4,Control_vs_D-Scour,Control,D-Scour,groupA_t2,pairwise.t.test
0.083489642772904,t2,PC4,Control_vs_Neomycin,Control,Neomycin,groupA_t2,pairwise.t.test
0.012689811649938,t2,PC4,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,groupA_t2,pairwise.t.test
0.057428539978416,t2,PC4,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,groupA_t2,pairwise.t.test
0.299762048259647,t2,PC5,ColiGuard_vs_Control,ColiGuard,Control,groupA_t2,pairwise.t.test
0.284065011093704,t2,PC5,Control_vs_D-Scour,Control,D-Scour,groupA_t2,pairwise.t.test
0.672336797943555,t2,PC5,Control_vs_Neomycin,Control,Neomycin,groupA_t2,pairwise.t.test
0.25665974036668,t2,PC5,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,groupA_t2,pairwise.t.test
0.607256572176955,t2,PC5,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,groupA_t2,pairwise.t.test
0.620888416115965,t4,PC1,ColiGuard_vs_Control,ColiGuard,Control,groupA_t4,pairwise.t.test
0.396259332534829,t4,PC1,Control_vs_D-Scour,Control,D-Scour,groupA_t4,pairwise.t.test
0.832180523588171,t4,PC1,Control_vs_Neomycin,Control,Neomycin,groupA_t4,pairwise.t.test
0.476119067373127,t4,PC1,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,groupA_t4,pairwise.t.test
0.559305574214992,t4,PC1,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,groupA_t4,pairwise.t.test
0.908974884795593,t4,PC2,ColiGuard_vs_Control,ColiGuard,Control,groupA_t4,pairwise.t.test
0.444952475665649,t4,PC2,Control_vs_D-Scour,Control,D-Scour,groupA_t4,pairwise.t.test
0.0234040310555781,t4,PC2,Control_vs_Neomycin,Control,Neomycin,groupA_t4,pairwise.t.test
0.00258350500197348,t4,PC2,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,groupA_t4,pairwise.t.test
0.015489908337429,t4,PC2,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,groupA_t4,pairwise.t.test
0.180456116188499,t4,PC3,ColiGuard_vs_Control,ColiGuard,Control,groupA_t4,pairwise.t.test
0.920047647899906,t4,PC3,Control_vs_D-Scour,Control,D-Scour,groupA_t4,pairwise.t.test
0.801701392431593,t4,PC3,Control_vs_Neomycin,Control,Neomycin,groupA_t4,pairwise.t.test
0.62873261283809,t4,PC3,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,groupA_t4,pairwise.t.test
0.257558531776674,t4,PC3,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,groupA_t4,pairwise.t.test
0.786800832010654,t4,PC4,ColiGuard_vs_Control,ColiGuard,Control,groupA_t4,pairwise.t.test
0.803497064377679,t4,PC4,Control_vs_D-Scour,Control,D-Scour,groupA_t4,pairwise.t.test
0.336692896940435,t4,PC4,Control_vs_Neomycin,Control,Neomycin,groupA_t4,pairwise.t.test
0.422224924113939,t4,PC4,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,groupA_t4,pairwise.t.test
0.524518508688697,t4,PC4,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,groupA_t4,pairwise.t.test
0.202812219811708,t4,PC5,ColiGuard_vs_Control,ColiGuard,Control,groupA_t4,pairwise.t.test
0.132645905052581,t4,PC5,Control_vs_D-Scour,Control,D-Scour,groupA_t4,pairwise.t.test
0.193224603899398,t4,PC5,Control_vs_Neomycin,Control,Neomycin,groupA_t4,pairwise.t.test
0.820543573110692,t4,PC5,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,groupA_t4,pairwise.t.test
0.701648628660691,t4,PC5,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,groupA_t4,pairwise.t.test
0.344544023611439,t6,PC1,ColiGuard_vs_Control,ColiGuard,Control,groupA_t6,pairwise.t.test
0.153189914865891,t6,PC1,Control_vs_D-Scour,Control,D-Scour,groupA_t6,pairwise.t.test
0.673047060872772,t6,PC1,Control_vs_Neomycin,Control,Neomycin,groupA_t6,pairwise.t.test
0.682611213080627,t6,PC1,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,groupA_t6,pairwise.t.test
0.953771141434942,t6,PC1,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,groupA_t6,pairwise.t.test
0.855315187472299,t6,PC2,ColiGuard_vs_Control,ColiGuard,Control,groupA_t6,pairwise.t.test
0.162799646358481,t6,PC2,Control_vs_D-Scour,Control,D-Scour,groupA_t6,pairwise.t.test
0.863334796462589,t6,PC2,Control_vs_Neomycin,Control,Neomycin,groupA_t6,pairwise.t.test
0.289776147094571,t6,PC2,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,groupA_t6,pairwise.t.test
0.715673598477974,t6,PC2,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,groupA_t6,pairwise.t.test
