interval,mean,sum,sd,n,n_pos,perc_pos,n_neg,perc_neg,type,Cohort.x,dates
D-E,1.58258338333281,18.9910005999937,7.33751332244682,12,5,0.416666666666667,7,0.583333333333333,bwpd,ColiGuard,t6-t8
D-E,0.845764958547211,10.1491795025665,8.22864316815041,12,6,0.5,6,0.5,bwpd,Neomycin,t6-t8
D-E,-4.70860586632255,-51.794664529548,9.9559562212662,11,5,0.454545454545455,6,0.545454545454545,bwpd,Neomycin+D-Scour,t6-t8
D-E,4.53612402588593,54.4334883106312,8.20217168003293,12,9,0.75,3,0.25,bwpd,Neomycin+ColiGuard,t6-t8
A-C,0.923127767341424,15.6931720448042,9.42053375464146,17,8,0.470588235294118,9,0.529411764705882,bwpd,Control,t0-t4
A-C,-1.32380753315188,-23.8285355967339,9.48737347164511,18,8,0.444444444444444,10,0.555555555555556,bwpd,D-Scour,t0-t4
A-C,-5.07917584177382,-91.4251651519287,6.1346901868565,18,5,0.277777777777778,13,0.722222222222222,bwpd,ColiGuard,t0-t4
A-C,-1.71436665007703,-30.8585997013865,11.3052754995641,18,9,0.5,9,0.5,bwpd,Neomycin,t0-t4
A-C,0.332818684919097,5.99073632854375,9.88082062954571,18,10,0.555555555555556,8,0.444444444444444,bwpd,Neomycin+D-Scour,t0-t4
A-C,0.298554266164737,4.77686825863579,7.62957745229789,16,9,0.5625,7,0.4375,bwpd,Neomycin+ColiGuard,t0-t4
B-D,0.88342374322035,8.83423743220349,9.09295111473138,10,7,0.7,3,0.3,bwpd,Control,t2-t6
B-D,-0.771033958567233,-9.2524075028068,10.3525736952942,12,7,0.583333333333333,5,0.416666666666667,bwpd,D-Scour,t2-t6
B-D,3.96412222437835,43.6053444681619,8.69285447114053,11,7,0.636363636363636,4,0.363636363636364,bwpd,ColiGuard,t2-t6
B-D,-5.84543030837863,-70.1451637005436,7.48104274223007,12,4,0.333333333333333,8,0.666666666666667,bwpd,Neomycin,t2-t6
B-D,4.59717294376569,50.5689023814226,10.0439092602255,11,8,0.727272727272727,3,0.272727272727273,bwpd,Neomycin+D-Scour,t2-t6
B-D,-0.271408133951572,-2.9854894734673,10.2577352626427,11,7,0.636363636363636,4,0.363636363636364,bwpd,Neomycin+ColiGuard,t2-t6
